,ASI,ASJ,AWA,ASG,AWB,ASE,ADF,AFD,AWC,ASK,ASH,ADL,BAG,URX,ALN,PLN,SDQ,AQR,PQR,ALM,AVM,PVM,PLM,FLP,DVA,PVD,ADE,PDE,PHA,PHB,PHC,IL2,CEP,URY,OLL,OLQ,IL1,AIN,AIM,RIH,URB,RIR,AIY,AIA,AUA,AIZ,RIS,PVQ,ADA,RIF,BDU,PVR,AVF,AVH,PVP,LUA,PVN,AVG,DVB,RIB,RIG,RMG,AIB,RIC,SAA,AVK,DVC,AVJ,PVT,AVD,AVL,PVW,RIA,RIM,AVE,RMF,RID,AVB,AVA,PVC,RIP,URA,RME,RMD,RIV,RMH,SAB,SMD,SMB,SIB,SIA,MNVC,MUBODY,MUHEAD,CEPsh,GLR,CAN,exc_cell,exc_gl,gonad,hmc,hyp,int,mu_anal,mu_int,mu_sph,CEM,MCM,EFn,MALE
RIM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,9,9,,,,,,,,,,11,1,,18,,95,,,,,1,,,1,,8,13,,65,1,2,,,,34,,,,83,,,,,,28,,,,,,,,,,,,,,3,,
AVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,,,,,,,,70,,,,,84,,,,,,,,,,,,,,,,,,
RMF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,
RID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,
AVB,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,24,,,,,,,,,,,,,27,,,,,,,,,,23,,,,,,,1,10
AVA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,8,,,,,2,,,,,,,,,12,,,,,,,,,33,38,,,,,,1,4,,,,,609,,,,,,,,,,5,,,,,,,,23
PVC,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,8,,5,46,20,5,,,,,,,,,,1,10,65,,,,,,,,,,2,,,,,,3,,
URA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,,24,,,,,,,,,,,137,,,,,,,,,,,,,,,,
RME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,3,3,,3,,19,,,,,,215,,1,,,,,,,,,,,,,,
RMD,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,11,6,,,3,7,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,41,5,,,,,,,1,,3,239,,1,,5,5,,5,,1,304,,,,,,,,,,,,,,,,
RIV,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,10,,65,,,,,,,,24,10,,3,,,,,,,,19,15,,,15,,,33,,,62,,25,,,,,,,,,,,,,,
RMH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,2,,,,,,,,,,,,,,,,,,,,,,,2,3,4,,,,3,,,,,,,,,,,,,,,,,,21,,,,,,,,,,30,,,,,,,,,,,,,,,,
SAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,660,,,,,,,,284,,,,,,,,
SMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,6,,,,,,,,,,,,,,,,,,,,,,,31,,,,,5,,,,,,,,202,,26,,,,,,,,18,79,1,,,87,6,88,88,,359,221,,6,,,,,,,,,,,,,,
SMB,,,,,,,,,,,,,,,1,18,36,,,,,,,,,,,,,,,,20,,,8,8,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,112,,,1,,,,,,2,,,,,,,,,61,31,2,1,,11,15,3,45,,181,252,,,,,3,,,,,,,,5,3,,
SIB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,2,1,,,1,,,,,,,,,64,,,14,,222,65,,,,,,,,,,,,,,,,
SIA,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,54,21,12,,,198,68,,,,,,,,,,,,,,,,
MNVC,,,,,,,,,,,,,,,,,,,,,,,5,,1,,,2,,6,1,,,,,,,,,,,,,,,,,2,,,,,,3,,1,6,,,,,,,,18,,1,,,,,2,,,,,,1,11,27,,,,,,,,,,,,2318,1916,158,,,,,,,,3,,,,,,,21,224
CEM,,,,,,,,,4,,,,9,,,,,,,,,,,,,,,,,,,2,30,6,,,,,,,,,,2,,,,,,,,,8,,,,,,,17,32,,1,4,1,2,,3,5,47,,,15,,1,,2,89,7,,1,,,,,1,,2,,,,,,,8,,,,,,,,,,,,7,5,3,
